HSPB1,SLC27A3,INMT,GATA2,LRRC26,C8orf55,LY6H,SLC9A3R2,HRC,ZFYVE19,NR2F2,TRIM3,OPN4,LRFN2,FAM113B,SPDEF,C1orf64,CLEC14A,HTR2B,JAM2,KRT18,LTBP2,ALDH4A1,JAM3,CRYGN,PODN,NQO1,SNCG,ADRA2C,GDF15,LYZL2,SLC7A13,PRPH,TFF3,RMND5B,CXXC5,SGCA,HSF2,ZNF684,PAPSS1,OGFRL1,RNF138,RCAN3,ENKUR,HAUS6,CHPT1,ZNF529,DEM1,FASTKD1,ZNF567,NHLH1,Emb_0,Emb_1,Emb_2,Emb_3,Emb_4,Emb_5,Emb_6,Emb_7,abs_mean
-0.022721892,-0.01653196,0.18059874,-0.08936313,0.000109314686,-0.15268466,0.01373052,0.017805431,-0.034328878,-0.12492676,-0.03255018,-0.09223856,0.014043956,-0.119344726,-0.074583754,-0.028940033,0.04769089,-0.008615793,0.16186748,-0.012085903,0.027406914,-0.042372704,-0.20128484,-0.03304325,-0.15491512,-0.048845485,-0.14363696,0.08798708,0.052891526,-0.008523684,0.47928116,-0.045431886,-0.0016056709,-0.0853814,-0.2538123,-0.06625194,-0.14442842,0.0596395,-0.06009533,0.004306748,-0.064519666,0.01487246,0.039797217,-0.04250032,0.015223029,0.020644529,0.082424104,-0.053195566,0.0048932238,0.015894184,-0.19228934,-0.025057493,-0.114204414,0.007969184,-0.006391923,-0.014440624,0.009748276,-0.10186427,0.00020791666,
-0.035645302,-0.0460087,-0.23809358,-0.0146402065,-0.09938224,-0.12201138,-0.1026384,0.030446677,0.004860853,-0.11450411,-0.14846015,-0.032124,-0.010775373,-0.0048117107,-0.024592435,-0.019504424,0.10759307,-0.015158455,-0.16120827,-0.26826617,-0.0039549256,-0.18607809,-0.1762758,-0.0027016078,0.14882791,0.013409472,-0.024556942,-0.108757526,-0.010324587,-0.005751974,0.83479905,-0.029602826,0.01863837,0.01432663,-0.06082117,0.0497962,-0.12300389,-0.081842095,-0.018890591,-0.045582063,-0.057430107,0.01714626,-0.02614059,-0.011291533,0.010646343,-0.005063963,-0.049528852,-0.22975332,-0.14420716,-0.07296346,-0.24518828,-0.012174416,-0.124663256,-0.0031068458,-0.001781358,0.006667059,0.0020123217,0.034357097,-0.56568295,
-0.05431625,-0.0078106406,0.052645914,-0.12443506,0.013540494,-0.12773575,0.026170943,0.011643629,-0.0056676827,-0.05417812,-0.26536015,0.2721973,0.2419379,-0.060646098,-0.0443311,-0.028411053,-0.020542758,0.016674208,-0.3408085,-0.08902647,-0.0014149791,-0.1409405,0.10231544,-0.033096496,-0.06668313,0.029022716,-0.095756225,-0.089940794,-0.05255425,0.020469863,-0.14803925,-0.072093174,0.0685921,-0.17058764,-0.017687967,-0.020185648,-0.4392842,-0.050136425,-0.023306904,-0.047722932,-0.020732675,0.051991887,0.032289334,0.035150636,0.06089817,0.06073724,-0.08558708,0.009942245,-0.1694838,0.006461007,-0.34182268,-0.019466715,-0.24382785,-0.0113622155,0.0090849465,-0.03458895,0.01743408,0.042746145,-0.084329635,
0.033055823,0.02479085,-0.27439806,-0.0875803,0.005080517,-0.11723379,-0.07380634,0.019677393,0.014731754,-0.19555238,-0.07038607,0.09318974,-0.19667028,-0.04352901,-0.040528804,-0.012724208,-0.049901735,-0.018966263,0.19795232,-0.03287361,-0.13967888,-0.31195676,0.12718838,0.00092687143,-0.16186261,0.05588123,-0.17866635,-0.06994159,-0.027844518,-0.01399349,-0.13340686,0.016313884,-0.22149,0.071808934,-0.12013798,-0.03221593,0.09634994,-0.012868546,-0.047411434,0.029541945,-0.04555986,0.108077995,-0.111583054,-0.110536546,-0.03129119,0.44420928,0.05086039,0.009093727,-0.04111808,-0.028544499,-0.06666573,-0.0876716,-0.23773204,0.0061524077,-0.035788268,0.01877465,0.006862768,0.054325063,0.08672397,
-0.011704231,-0.060122088,-0.016136734,-0.05405803,0.053876653,-0.11418923,-0.027053367,-0.00085604866,-0.006969461,0.25553834,-0.04929427,0.08932926,0.07332447,-0.19008411,-0.024145164,0.02596315,-0.100195706,0.0034525408,-0.23969008,0.024787387,-0.039610967,-0.32274067,0.31602284,-0.051157944,-0.22904103,0.086894445,0.53113633,-0.014668145,0.030064618,-0.021320703,-0.026748005,-0.010680985,0.1610706,0.04870008,-0.20998622,0.050981924,0.07544827,-0.0027810086,-0.022238517,0.0064186933,-0.047255334,-0.09390569,0.0012257211,0.04869633,0.029424965,0.119244695,0.097352415,-0.0631615,-0.021169156,0.06569074,-0.5034161,0.13185866,0.5862135,-0.010645999,-0.0076976595,-0.015441598,-0.00817723,-0.056441173,-0.039300308,
0.0016794303,0.02035692,0.24771228,0.025211483,-0.35961616,-0.052535314,0.013553164,0.01600755,-0.0030492481,-0.26977462,-0.041022662,-0.0016771099,0.051183607,-0.028527772,-0.0071037672,0.009894138,0.12668186,0.016706219,0.21770954,-0.23673269,0.19263302,0.028213507,-0.20999052,-0.10358305,-0.13284245,-0.02538353,-0.031625487,0.03201605,-0.037155654,-0.0066792252,-0.1420037,-0.05050714,-0.07893465,0.07692536,-0.15858383,0.035748057,0.16363822,-0.06574456,-0.038721107,0.058386493,-0.034867443,0.058631033,-0.06817845,-0.007384572,-0.0128585845,0.14502598,-0.103509806,0.0361412,-0.06415519,-0.26616254,0.0068095624,-0.046090122,-0.1394189,-0.026879055,-0.005075684,0.03381381,0.008936357,0.028754568,0.02734539,
-0.077475265,-0.08825034,-0.24739319,-0.079408474,0.041322812,-0.22325999,-0.029500198,0.025085501,0.0039275987,-0.041153707,-0.14336495,-0.026997192,-0.18184772,0.070213675,-0.067778446,-0.060926147,0.10853405,0.0043666284,-0.4612168,-0.027413737,0.025204917,-0.16696888,-0.09407055,0.012073744,-0.14797223,-0.0017661323,-0.09531788,-0.020672917,-0.053212292,-0.03159627,-0.26106495,0.004223438,-0.24329324,0.003555309,-0.06616388,-0.0055794213,-0.036558628,0.019292414,-0.018222487,-0.03233954,0.08560069,-0.010081131,0.010681311,0.051792584,0.07564716,0.64701563,-0.07803634,0.046314746,-0.0017315703,0.015028229,-0.17723504,0.02170422,-0.16915198,-0.0017876121,-0.016803611,0.16829929,0.0013252683,0.04557132,-0.5780778,
0.009203871,-0.019384881,-0.010221645,-0.08921276,-0.004610774,-0.19600451,0.010358686,-0.0049009826,-0.013003218,0.1293993,-0.016494952,-0.10274354,-0.20232564,0.08989707,-0.05158163,0.06114175,0.088850886,-0.0067902524,-0.33122784,-0.033175252,0.037732452,-0.16799542,0.11500336,-0.04005742,0.35361832,-0.009154574,-0.0842636,0.08501714,-0.024874376,-0.0088913925,-0.036877543,0.08488281,0.16234548,0.012996913,-0.01491496,-0.029222436,0.050795227,-0.23397958,-0.009799718,0.07726295,-0.04741468,-0.039816566,0.073316455,-0.14033571,0.0422476,-0.37843347,0.072078824,-0.27255785,0.056832448,0.15650296,-0.29272205,0.051237945,0.3766719,-0.022456741,-0.039751552,-0.05173115,0.0015290044,-0.07631778,-0.0009851597,
-0.022528859,-0.0008949927,-0.24238938,-0.12414799,0.06464317,-0.24645247,-0.011259715,-0.0036533345,-0.015079002,-0.28963757,0.037940554,0.27358523,-0.27891198,-0.063901365,-0.08171137,0.028078007,0.008092564,-0.01073303,-0.28797853,0.10627358,-0.15338333,-0.20088416,0.1658747,-0.005529372,-0.18727534,0.004038414,0.042902414,-0.038288686,-0.017511189,-0.021329848,-0.17167747,-0.12537181,-0.19957486,0.0625905,-0.10906214,-0.0024113473,-0.3602211,-0.04003457,-0.031437602,-0.0049372003,0.056737192,0.039788418,-0.044956364,-0.011616134,-0.016689295,0.15787257,-0.088850744,-0.12607594,-0.055465005,-0.20998079,0.13178183,-0.07561248,-0.16283336,-0.022733768,0.02690383,0.01076931,0.0037975463,0.021136649,-0.13490452,
-0.0365259,0.017474774,-0.21216898,-0.047525458,-0.022404581,-0.239975,-0.05875452,0.010595958,-0.0055767493,-0.09287536,0.13270639,-0.054798104,0.09236825,0.026036693,-0.024746217,-0.013535476,-0.2744824,-0.014664688,0.15592383,0.011595245,0.100589365,-0.15986745,-0.20822717,0.018407516,-0.114889115,-0.015838597,-0.12336507,-0.1214713,-0.024533449,0.01685888,-0.16986178,-0.041113555,-0.15758952,-0.013820294,-0.21573688,-0.035090204,-0.507493,-0.08427833,-0.017224567,-0.0038777052,-0.07297547,0.09445777,-0.059367407,0.006828911,-0.044743832,0.46602172,-0.100736976,-0.022119863,-0.05658259,-0.26292032,0.04642942,-0.011344696,-0.1805736,0.006566856,-0.008700833,0.01951293,0.0034358678,0.050469387,0.18134385,
